"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"14-1322","Indian Affairs Department","mailto:rosemary.whitegeese@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1322","2014","IAD SFIS YOUTH ACTIVITY COMPLEX UPGRADE","GENERAL OBLIGATION BONDS","COMPLIANT","***","Not Sold","0","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Santa Fe","500000","65 / 10/C/10/","6/30/18","0","0","0","0","500000","5/26/15 0:00","","/","01012 - Santa Fe Indian School","0","***","0","0","0","","0","Bonds not sold.","","","0100 - Appropriated","500000","5/26/15 0:00","3/26/15 0:00","0","0","","","","","","","",""
"14-1400","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1400","2014","DURANES ELEM SCHL INFO TECH","SEVERANCE TAX BONDS","","6/24/14","2014A","20000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","20000","66 / 13/ 55","6/30/16","0","19971","0","0","29","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","19971","0","0","","29","Project complete.","Expended Amount: 19,970.73 Revert 29.27","Submit RFR through OMBS in December to receive payment","0240 - Project Complete","0","5/26/15 0:00","1/14/15 0:00","19971","29","Expended Amount: 19,970.73 Revert 29.27","","Expended Amount: 19,970.73 Revert 29.27","Submit RFR through OMBS in December to receive payment","TRUE","FALSE","1/7/15 0:00","1/7/15 0:00"
"14-1316","University of New Mexico","mailto:lchance@unm.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1316","2014","UNM-TAOS HEALTH CAREER TRAINING CENTER CONSTRUCT","GENERAL OBLIGATION BONDS","COMPLIANT","***","Not Sold","0","HED","Higher Education (facilities, equipment)","Taos","4000000","65 / 10/C/8/e","6/30/18","0","0","40000","0","3960000","5/26/15 0:00","","/","99995 - University of New Mexico-Taos","0","***","0","0","0","","0","Project in Design phase.","Received building purchase approval from UNM Regents, HED, and SBoF. Project approval from BOR, HED","Complete final project design and issue RFP for Construction. Begin project construction.","0210 - Project in Design","4000000","5/26/15 0:00","4/23/15 0:00","0","0","","","","","","","",""
"14-1549","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1549","2014","EARLY COLLEGE HIGH SCHL INFO TECH","SEVERANCE TAX BONDS","","6/24/14","2014A","80000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Eddy","80000","66 / 13/210","6/30/16","0","0","0","0","80000","5/26/15 0:00","","/","03007 - Carlsbad Municipal Schools","0","***","0","0","0","","0","","","","0100 - Appropriated","80000","5/26/15 0:00","1/1/80 0:00","0","0","Project has been completed.  Invoices pending CMS approval for payment.","","","","FALSE","FALSE","1/1/80 0:00","5/29/15 0:00"
"14-1863","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1863","2014","ALB KIMO THEATER BAND SHELL","SEVERANCE TAX BONDS","","6/24/14","2014A","100000","Local","Cultural Facilities (libraries, museums, arts, etc.)","Bernalillo","100000","66 / 22/ 42","6/30/18","0","0","0","0","100000","5/26/15 0:00","","/","02100 - Albuquerque","0","***","0","0","0","","0","Bonds sold June 2014. GA issued. 08/29/2014
  0150-Grant Agreement Issued    09/03/2014
  0150-Grant Agreement Issued    09/03/2014","","","0150 - Grant Agreement Issued","100000","12/15/14 16:33","12/15/14 16:33","0","100000","4th quarter 2014-Planning discussions with KIMO theater management staff and Cultural Services Department.  1st   2nd Quarter 2015-Complete planning and begin design process.","","1st Quarter 2015-Complete planning and begin design process..","2nd Quarter 2015-In design process","FALSE","FALSE","4/30/15 0:00","5/1/15 0:00"
"14-1654","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1654","2014","BECENTI CHP WATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","150000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","McKinley","150000","66 / 16/ 61","6/30/18","0","0","0","0","100000","5/26/15 0:00","","/","13004 - Becenti Chapter","0","***","0","0","50000","","0","3/11/15: No change, grant agreement mailed to NN on 9/18/14  waiting on NN to return project description/scope along with signed agreement. Reauthorized  50,000, a portion of the  150,000 original appropriation from NMED to IAD in the 2015 Legislative session.","Mailed out grant agreement to Navajo Nation.","Get project description from NN and execute grant agreement.","0130 - Budgeted","100000","5/27/15 0:00","5/5/15 0:00","0","0","","","","","","","",""
"14-2062","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2062","2014","LAS CRUCES ALAMEDA DEPOT NEIGHBORHOOD LIGHTING","SEVERANCE TAX BONDS","","6/24/14","2014A","100000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Dona Ana","100000","66 / 25/ 33","6/30/18","0","0","0","0","100000","5/26/15 0:00","","/","07003 - Las Cruces","100000","6/30/18","0","0","0","","0","Grant Agreement D14623","Grant Ageement issued","Receipt of Notice of Obligation to create PO","0150 - Grant Agreement Issued","100000","5/26/15 0:00","3/26/15 0:00","0","100000","Reached consensus with the residents about the concerns of dark areas being addressed first.","","Addressed residents' concerns of dark areas and awaiting consensus from residents on lighting design to proceed.","Project Development","FALSE","TRUE","1/1/80 0:00","5/29/15 0:00"
"14-1982","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1982","2014","BERNALILLO ROTARY PARK IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","65000","Local","Community Facilities","Sandoval","65000","66 / 22/177","6/30/18","0","0","0","0","65000","5/26/15 0:00","","2014 / 5","29001 - Bernalillo","0","***","0","0","0","","0","8-29-2014: Grant Agreement issued.
  0150-Grant Agreement Issued    08/29/2014","","","0150 - Grant Agreement Issued","65000","12/15/14 16:33","12/15/14 16:33","0","65000","Coordinating roadway issues with improvements to Coronado Little League and construction of Senior Center in Rotary Park","","","","FALSE","FALSE","5/29/15 0:00","5/29/15 0:00"
"14-1339","Department of Cultural Affairs","mailto:chris.romero@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1339","2014","NATIONAL HISPANIC CULTURAL CTR INFO & WELCOME CTR","SEVERANCE TAX BONDS","","6/24/14","2014A","564000","State Facility","Cultural Facilities (libraries, museums, arts, etc.)","Bernalillo","564000","66 /  7/  3","6/30/18","0","0","5640","0","558360","5/26/15 0:00","","/","99505 - Department of Cultural Affairs","0","***","0","5640","0","","0","Bonds sold August 2014.  Staff has formulated conceptual plans for welcome center needs and functions, which will be provided to selected architect.","Internal discussions took place to formulate language for bid solicitation for architecture drawings.","Drafting of bid solicitation for architect will be completed.","0175 - Project Planning","558360","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-1616","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1616","2014","LOWER RIO GRANDE PWWA INFO TECH & METERS","SEVERANCE TAX BONDS","","6/24/14","2014A","130000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Dona Ana","130000","66 / 16/ 22","6/30/18","0","0","0","0","130000","5/26/15 0:00","24026","2015 / 02","07025 - Lower Rio Grande Public Water Works Authority","0","***","0","0","0","","0","3-13-15  Project planning is ongoing.  Community is researching alternative procurement methods including design build and competitive sealed proposals to find the best method to complete the work.","Planning for project procurement is ongoing.","Determine procurement technique and prepare bid documents","0175 - Project Planning","130000","5/26/15 0:00","3/16/15 0:00","0","130000","RFP issued","","RFP developed, approved and issued","RFP deadline for proposals is July 15, no goals for June, will select and engineering firm in July.  Submission date for this report is 5/27/15.","FALSE","FALSE","4/2/14 0:00","5/27/15 0:00"
"14-2142","University of New Mexico","mailto:lchance@unm.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2142","2014","UNM JOHNSON FIELD EQUIP & IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","160000","HED","Higher Education (facilities, equipment)","Bernalillo","160000","66 / 32/  5","6/30/18","0","0","0","0","160000","5/26/15 0:00","","/","99952 - University of New Mexico","0","***","160000","0","0","","0","Construction phase.","Three benches and volleyball court edging installed.","Perimeter lighting fixtures installed.","0220 - Project in Construction","0","5/26/15 0:00","3/18/15 0:00","0","0","","","","","","","",""
"14-1127","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1127","2014","CLOVIS SENIOR CENTERS CITYWIDE-VEHICLES","GENERAL OBLIGATION BONDS","COMPLIANT","***","Not Sold","0","Local","Senior Citizens","Curry","86000","65 / 10/A/ 28","6/30/18","0","0","0","0","86000","5/26/15 0:00","","/","05001 - Clovis","0","***","0","0","0","","0","Pending bond sale","Audit reviewed for Executive Order 2013-006 compliance","Receive notification of bond sale, await CAPBUD and initiate grant agreement process","0100 - Appropriated","86000","5/26/15 0:00","3/16/15 0:00","0","0","No grant agreements have been received by Finance as of 4/30/15","","","","FALSE","TRUE","5/11/15 0:00","5/11/15 0:00"
"14-1230","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1230","2014","SAN MIGUEL CO SENIOR CENTERS-VEHICLES","GENERAL OBLIGATION BONDS","COMPLIANT","***","Not Sold","0","Local","Senior Citizens","San Miguel","425000","65 / 10/A/131","6/30/18","0","0","0","0","425000","5/26/15 0:00","","/","12001 - Las Vegas","0","***","0","0","0","","0","Pending bond sale","Audit reviewed for Executive Order 2013-006 compliance","Receive notification of bond sale, await CAPBUD and initiate grant agreement process","0100 - Appropriated","425000","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-1367","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1367","2014","ATRISCO ELEM SCHL INFO TECH","SEVERANCE TAX BONDS","","6/24/14","2014A","75000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","75000","66 / 13/ 22","6/30/16","0","74966","0","0","34","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","74966","0","0","","34","Project complete.","Expended Amount:74,965 Revert Amount:34.40","Submitted final RFR through OBMS to receive payment.","0240 - Project Complete","0","5/26/15 0:00","1/12/15 0:00","74966","34","Expended Amount:74,965 Revert Amount:34.40","","Expended Amount:74,965 Revert Amount:34.40","Submitted final RFR through OBMS to receive payment.","TRUE","FALSE","1/7/15 0:00","1/7/15 0:00"
"14-1694","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1694","2014","PENA BLANCA WSD WATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","155000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Sandoval","155000","66 / 16/102","6/30/18","0","11385","0","0","0","5/26/15 0:00","","/","29032 - Pena Blanca WSD","11385","***","0","0","143615","","0","2-9-15 Medina engineering amendment  2 executed for design phase of project,  101,318.30. As of 3-11-15 design is approximately 10  complete. Awaiting disbursement request No.1 for  11,384.80. Reauthorized the balance of 143,615.20 for change in purpose in the 2015 Legislative session.","Execute engineering agreement","Complete design","0210 - Project in Design","11385","5/26/15 0:00","5/5/15 0:00","11385","11385","2-9-15 Medina engineering amendment 2 executed for design phase of project, 101,318.30. As of 3-11-15 design is approximately 10 complete. Awaiting disbursement request No.1 for 11,384.80. Reauthorized the balance of 143,615.20 for change in purpose in the 2015 Legislative session.","","","","TRUE","FALSE","1/1/80 0:00","5/12/15 0:00"
"14-1904","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1904","2014","ANTHONY FLOOD CONTROL FACILITIES","SEVERANCE TAX BONDS","","6/24/14","2014A","50000","Local","Acequias & Dams (rivers, conservation)","Dona Ana","50000","66 / 22/ 93","6/30/18","0","0","0","0","50000","5/26/15 0:00","","/","07001 - Anthony","0","***","0","0","0","","0","","","","0100 - Appropriated","50000","","","0","50000","Executing grant agreement.","","Submitted signed grant agreement and all necessary documents.","Fully executed grant agreement.","FALSE","FALSE","5/29/15 0:00","5/29/15 0:00"
"14-1374","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1374","2014","CARLOS REY ELEM SCHL GROUNDS & PLAYGROUNDS IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","55000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","55000","66 / 13/ 29","6/30/18","0","54999","0","0","1","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","54999","0","0","","1","Project near completion.","Expended amount: 18,214.83 Contract/Open Purchase Order Amount: 36,785.17","Complete Project by 05/30/2015","0200 - Purchase in Process - Ad/Bid","0","5/26/15 0:00","1/12/15 0:00","54999","1","Expended amount: 54,998.71 Revert Amount: 1.29","","Expended amount: 54,998.71","Submitted final RFR through OBMS to receive payment","TRUE","FALSE","2/26/15 0:00","2/26/15 0:00"
"14-1994","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1994","2014","SANTA FE CO URBAN ADVENTURE & TRAINING CTR","SEVERANCE TAX BONDS","","12/30/14","STB14SA","75000","Local","Community Facilities","Santa Fe","75000","66 / 22/191","6/30/18","0","0","0","0","75000","5/26/15 0:00","","/","01000 - Santa Fe County","0","***","0","0","0","","0","","","","0100 - Appropriated","75000","","","0","0","5/29/2015 - The funds will be budgeted and ready to spend on 7/1/2015.
4/30/2015 - The signed grant agreement was received and the funds willbe budgeted and ready to spend on 7/1/2015.
3/27/2015 - Staff is waiting to get grant agreement back.
2/26/2015 - The grant agreement has been signed by the County Manager and sent back to DFA for final signature.
1/29/2015 - Staff received the grant agreement today and is routing for County Manager Signature.
12/31/2014 - Staff is waiting for the grant agreement.
11/24/2014 - Staff is waiting for the grant agreement.
9/24/2014 - Staff submitted the lease agreement to DFA to satify anti-donation issues.
4/30/2014 - Staff submitted the scope of work and is waiting for the grant agreement to be issued by DFA. 
3/28/2014 - Staff will request scope of work from the non-profit","","","","FALSE","FALSE","5/29/15 0:00","5/29/15 0:00"
"14-2069","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2069","2014","BOX CANYON RD IMPROVE-EDDY CO","SEVERANCE TAX BONDS","","6/24/14","2014A","50000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Eddy","50000","66 / 25/ 41","6/30/18","0","0","0","0","50000","5/26/15 0:00","","/","99352 - Educational Retirement Board","50000","6/30/18","0","0","0","","0","Grant Agreement D14724 executed on 1/8/2015
Grant Agreement sent to Legal for signature on 8/25/14
Project Scope   Termini rec d on 8/12/14
Project Scope   Termini sent to Entity on 8/4/14","Grant Agreement executed","Receipt of Notice of Obligation to create PO","0150 - Grant Agreement Issued","50000","5/26/15 0:00","3/26/15 0:00","0","0","Planning what sections to do immediately and what is the timeline.","","Planning project for commencement.","Completion of project","FALSE","FALSE","7/2/14 0:00","8/1/14 0:00"
"14-1729","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1729","2014","ALGODONES ARSENIC TREATMENT SYSTEM","SEVERANCE TAX BONDS","HEALTH/SAFETY/W","6/24/14","2014A","650000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Sandoval","650000","66 / 16/138","6/30/18","0","0","0","0","650000","5/26/15 0:00","","/","29000 - Sandoval County","0","***","0","0","0","","0","3-1-15 RFP advertised. 3-17-15 pre-proposal meeting held. Acquired Sandoval County as their fiscal agent.  Grant agreement has not been returned.","Advertised RFP","Execute grant agreement & hire engineering firm","0130 - Budgeted","650000","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-1797","Interstate Stream Commission","","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1797","2014","TULAROSA COMMUNITY ACEQUIA IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","100000","Local","Acequias & Dams (rivers, conservation)","Otero","100000","66 / 21/  6","6/30/18","0","100000","0","0","0","5/26/15 0:00","","/","15026 - Tularosa Community Ditch Assn","0","***","0","0","0","","0","Met EO certifications, STB sold. Project complete. Final payment submitted.","","","0240 - Project Complete","100000","5/26/15 0:00","5/5/15 0:00","0","0","","","","","","","",""
"14-1725","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1725","2014","VAUGHN WATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","HEALTH/SAFETY/W","6/24/14","2014A","30000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Guadalupe","30000","66 / 16/134","6/30/18","0","0","0","0","30000","5/26/15 0:00","","/","24002 - Vaughn","0","***","0","0","0","","0","3/11/15: Grant agreement returned but MOU - resolution/signature page do not match. Fiscal Agent - Guadalupe County.","Grant agreement mailed to community","Execute grant agreement","0130 - Budgeted","30000","5/26/15 0:00","3/16/15 0:00","0","3000000","The town of Vaughn will publish for RFP S in April thr May 2014in the Albuquerque Journal. The Town of Vaughn Mayor and Council has agreed along with Guadalupe County Commissioners to serve as fiscal agents for State and Federal Projects in the Town of Vaughn","","","","FALSE","TRUE","5/28/15 0:00","5/28/15 0:00"
"14-2054","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2054","2014","BAYLOR CANYON & DRIPPING SPRINGS RDS IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","828000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Dona Ana","828000","66 / 25/ 25","6/30/18","0","0","0","0","828000","5/26/15 0:00","1989619932","2015 / 009","07000 - Dona Ana County","828000","6/30/18","0","0","0","","0","Grant Agreement D14730 Executed on 1/23/2015, mailed grant agreement to entity on 1/28/15
Pending entity signature 9/23/14
Grant Agreement sent to Legal for signature on 9/5/14
Project Scope   Termini received on 8/26/2014
Project Scope   Termini sent to Entity on 8/4/14","","","0150 - Grant Agreement Issued","828000","5/26/15 0:00","1/28/15 0:00","0","82800","Period ending April 30, 2014: Severance Tax Bond questionnaire was submitted for June bond sale.
Period ending May 30, 2014: No change in status. 
Period ending July 30, 2014: Waiting for grant agreement. 
Period ending August 30, 2014: Ongoing project status: teleconference project update meeting was held with BLM, HDR, FHWA and DAC staff in attendance. Project is currently on task. Public meeting is scheduled for October to obtain input on 30 percent plan review.
Period ending January 30, 2015: Received grant agreement today, February 3, 2015. Project is currently on task. Two public meetings were held. BLM ROW scoping report is in process. Traffic counts being completed.
Period ending March 31, 2015
BLM requested a realignment of the tie-in at Baylor Canyon and Dripping Springs Road.  This was done to the Check Dams that were built by the CCC camps in the 1930 s.  BLM felt that if we could do the realignment that they could get a categorical exclusion and move on. 
Period ending April 30, 2015
meeting scheduled for May 12, 2015. Public review period open till May 27, 2015","","DAC provided to NMDOT termini and scope of work form to begin grant agreement development.","Receive grant agreement.","FALSE","FALSE","1/1/80 0:00","5/14/15 0:00"
"12-1326","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1326","2012","MORA ISD IMPROVE/INFO TECH/FURNISH","SEVERANCE TAX BONDS","","6/21/12","STB12A","192500","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Mora","192500","64 /  8/ 76","6/30/16","0","99102","0","93398","0","5/26/15 0:00","","/","30002 - Mora Independent Schools","0","***","99102","0","0","","93398","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","0","0","","","","","","","",""
"14-1462","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1462","2014","MARK TWAIN ELEM SCHL INFO TECH","SEVERANCE TAX BONDS","","6/24/14","2014A","60000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","60000","66 / 13/118","6/30/16","0","60000","0","0","0","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","60000","0","0","","0","Project complete.","Expended amount 60,000.00","Submitted final RFR through OBMS to receive payment","0240 - Project Complete","0","5/26/15 0:00","1/13/15 0:00","60000","60000","Expended amount 60,000.00","","Expended amount 60,000.00","Submitted final RFR through OBMS to receive payment","TRUE","FALSE","1/7/15 0:00","1/8/15 0:00"
"14-1744","Expo New Mexico","mailto:johnc.jaramillo@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1744","2014","NM STATE FAIR AFRICAN AMER PAVILION STAGE","SEVERANCE TAX BONDS","","6/24/14","2014A","83000","State Facility","Public Buildings & Equip. (govt offices, rest areas, fair facil., etc.)","Bernalillo","83000","66 / 17/  1","6/30/18","0","0","0","0","83000","5/26/15 0:00","","/","99460 - State Fair Commission","0","***","22500","0","0","","0","3/16/15 - Continue design and construct stage at AAP.","3/16/15 - Funding utilized on AAP stage","3/16/15 - Continue design and construct stage at AAP.","0220 - Project in Construction","60500","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-1446","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1446","2014","LA MESA ELEM SCHL FIXTURES/FURNITURE/EQUIPMENT","SEVERANCE TAX BONDS","","6/24/14","2014A","25000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","25000","66 / 13/102","6/30/16","0","24989","0","0","11","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","24989","0","0","","11","Expended Amount: 24,989.00 Revert Amount 11.00","Expended Amount: 24,989.00. Pending payment from PED.","Submitted final RFR through OBMS to receive payment","0200 - Purchase in Process - Ad/Bid","0","5/26/15 0:00","12/26/14 0:00","24989","11","Expended Amount: 24,989.00 Revert Amount 11.00","","Expended Amount: 24,989.00. Pending payment from PED.","Submitted final RFR through OBMS to receive payment.","TRUE","FALSE","2/26/15 0:00","2/26/15 0:00"
"14-2045","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2045","2014","SOUTH 4TH ST SAFETY & ART IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","150000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Bernalillo","150000","66 / 25/ 16","6/30/18","0","0","0","0","150000","5/26/15 0:00","","/","02100 - Albuquerque","150000","6/30/18","0","0","0","","0","Project Scope   Termini sent to Entity on 8/4/14","","Receive Project Scope & Termini to create grant agreement","0100 - Appropriated","150000","5/26/15 0:00","3/26/15 0:00","0","0","","","","","","","",""
"14-1387","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1387","2014","CLEVELAND MID SCHL INFO TECH","SEVERANCE TAX BONDS","","6/24/14","2014A","43000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","43000","66 / 13/ 42","6/30/16","0","43000","0","0","0","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","43000","0","0","","0","Project completed.","Expended Amount: 43,000","Submitted final RFR through OBMS to receive payment","0240 - Project Complete","0","5/26/15 0:00","1/12/15 0:00","43000","0","Expended Amount: 43,000","","Expended Amount: 43,000","Submitted final RFR through OBMS to receive payment","TRUE","FALSE","1/7/15 0:00","1/7/15 0:00"
"14-2291","General Services Department","mailto:pamela.nicosin@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2291","2014","NEW MEADOWS AND PONDEROSA BUILDINGS AT NEW MEXICO","SEVERANCE TAX BONDS REAUTH","","***","Not Sold","0","Reauthorized Project","","San Miguel","1","64 / 45","6/30/15","0","73779","0","0","0","5/26/15 0:00","","/","99665 - Department of Health","52254","6/30/15","64707","0","0","","0","Project in warranty 12/12/14 -at","Client move in.","Pay final invoices and close out project","0230 - Substantial Completion - Closeout","52255","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-2021","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-2021","2014","BOSQUE FARMS VILLAGE OFFICE RENOVATE","SEVERANCE TAX BONDS","","6/24/14","2014A","75000","Local","Public Buildings & Equip. (govt offices, rest areas, fair facil., etc.)","Valencia","75000","66 / 22/219","6/30/18","0","0","0","0","75000","5/26/15 0:00","16859","2015 / 04","14002 - Bosque Farms","0","***","0","0","0","","0","08/25/2014 Bonds sold June 2014. 
08/29/2014 GA issued.
  0150-Grant Agreement Issued    09/02/2014","","","0150 - Grant Agreement Issued","75000","12/15/14 16:33","12/15/14 16:33","988","74012","We have entered into an agreement with ESA Construction, who will enter into an agreement with Huitt-Zollars Architects for the design.  This is being done through CES.  I have submitted a Notice of Obligation for this agreement.  Design is almost complete.  We are just waiting on DFA to approve so we can move forward.","","Design completed.","Have a construction start date.","TRUE","FALSE","5/29/15 0:00","5/29/15 0:00"
"14-1700","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1700","2014","EDGEWOOD WASTEWATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","440000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Santa Fe","440000","66 / 16/108","6/30/18","0","0","0","0","440000","5/26/15 0:00","","/","01002 - Edgewood","0","***","0","0","0","","0","Engineer and community is preparing new scope of work and Contract Documents.","Begin Planning and Design.","Identify issues with treatment system and proceed with corrections.","0175 - Project Planning","440000","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"14-1926","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=14-1926","2014","GRANT CO FT BAYARD BATAAN PARK VETERANS MEMORIAL","SEVERANCE TAX BONDS","","6/24/14","2014A","150000","Local","Community Facilities","Grant","150000","66 / 22/115","6/30/18","0","0","0","0","150000","5/26/15 0:00","","/","08000 - Grant County","0","***","0","0","0","","0","","","","0100 - Appropriated","150000","","","0","0","Architect is in the process of doing a schematic design.","","Started looking at design.","Finalize design and start bid process.","FALSE","TRUE","5/29/15 0:00","5/29/15 0:00"
